domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
teas-sec-passive-pvt.etc.uspto.gov,1444,18777,1444,13.003462603878116,144.03670360110803,0
teas-sec-pvt.etc.uspto.gov,1444,1444,1444,1.0,0.0,1444
test-www-wpc.woc.noaa.gov,1444,1444,1444,1.0,0.0,1444
test.census.gov,1444,2889,1444,2.0006925207756234,32.00831024930748,1444
trade.cbp.gov,1444,8666,2889,6.001385041551247,33.00831024930748,2889
trc.nist.gov,1444,4333,2889,3.0006925207756234,30.007617728531855,2889
umpbuilder.nist.gov,1444,1444,1444,1.0,0.0,1444
unitsml.nist.gov,1444,1444,1444,1.0,0.0,1444
vdatum.noaa.gov,1444,1444,1444,1.0,0.0,1444
viewer.weather.noaa.gov,1444,2889,1444,2.0006925207756234,2.0006925207756234,1444
